months_as_customer,age,policy_number,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
119,27,515698,IN,2000,1097.64,0,614812,MALE,transport-moving,other-relative,27100,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,1133 Apache St,16,2,1,0,?,63720,7080,21240,35400,Accura,TL,2006,N
259,43,132871,IL,500,947.75,0,458470,FEMALE,farming-fishing,not-in-family,0,-39300,Vehicle Theft,?,Trivial Damage,Police,SC,Riverwood,2873 Flute Ave,15,1,1,3,NO,7680,1280,640,5760,Audi,A5,2008,N
107,31,714929,IL,2000,1018.73,5000000,469646,MALE,handlers-cleaners,own-child,20000,-82700,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,8509 Apache St,21,3,1,2,?,93730,14420,21630,57680,Honda,CRV,2001,N
48,44,297816,IL,2000,1400.74,0,611118,MALE,sales,other-relative,34000,-55600,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,8245 4th Hwy,23,3,0,2,?,87300,17460,17460,52380,Jeep,Wrangler,2013,N
267,40,426708,IL,500,1155.53,5000000,465158,MALE,transport-moving,wife,0,-35200,Parked Car,?,Trivial Damage,Police,NY,Columbus,3094 Best Lane,5,1,0,2,NO,5670,1260,630,3780,Ford,F150,1997,N
286,47,615047,IN,500,1386.93,0,457130,MALE,priv-house-serv,husband,54100,-77600,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,8188 Tree Ave,15,3,0,0,NO,65800,13160,6580,46060,Accura,TL,2001,N
175,34,771236,OH,500,915.29,0,607893,FEMALE,handlers-cleaners,wife,82400,-57100,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,5224 5th Lane,14,1,2,1,YES,36720,4080,4080,28560,Honda,Accord,2009,Y
111,29,235869,IL,500,1239.55,2000000,464736,FEMALE,farming-fishing,own-child,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Riverwood,2230 1st St,1,1,1,1,YES,52800,4800,9600,38400,Mercedes,ML350,1996,Y
151,37,931625,IN,500,1366.42,0,476198,FEMALE,protective-serv,unmarried,44000,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,6719 Flute St,14,3,1,2,YES,59100,5910,5910,47280,Nissan,Maxima,1998,Y
156,37,371635,OH,1000,1086.48,6000000,444903,MALE,machine-op-inspct,unmarried,0,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbrook,8064 4th Ave,17,3,1,1,YES,77440,14080,7040,56320,Suburu,Legacy,1999,N
165,36,427199,IL,2000,1247.87,0,464336,MALE,armed-forces,husband,0,-39700,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbend,2469 Francis Lane,20,3,2,2,NO,45700,4570,4570,36560,BMW,3 Series,2008,N
253,41,261315,OH,2000,1312.75,0,471453,FEMALE,sales,other-relative,81300,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,4671 5th Ridge,10,3,2,2,YES,80740,7340,14680,58720,Toyota,Camry,2014,Y
10,26,582973,IN,2000,765.64,0,466191,MALE,sales,not-in-family,0,-22200,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Northbrook,6985 Maple Lane,3,3,0,3,?,31350,2850,5700,22800,Honda,Accord,2001,Y
158,33,278091,OH,2000,1327.41,0,440930,FEMALE,handlers-cleaners,other-relative,0,-38600,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Hillsdale,7791 Britain Ridge,0,1,0,0,?,35000,3500,7000,24500,Suburu,Legacy,2012,N
436,59,153154,OH,1000,1338.55,0,430380,MALE,protective-serv,own-child,39000,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Hillsdale,6355 4th Hwy,10,3,2,2,NO,68000,13600,6800,47600,Toyota,Corolla,2014,N
91,30,515217,IL,2000,1316.63,8000000,613178,FEMALE,machine-op-inspct,unmarried,43900,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3495 Britain Drive,13,3,2,0,?,84500,13000,13000,58500,BMW,X6,2009,N
256,42,860497,IL,1000,1286.44,0,460564,FEMALE,transport-moving,wife,0,-39500,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Northbend,2980 Sky Ridge,14,1,2,1,?,75500,7550,15100,52850,Nissan,Ultima,1998,N
274,46,351741,OH,1000,1372.18,0,439929,MALE,exec-managerial,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Riverwood,5914 Oak Ave,22,3,1,3,?,90600,15100,15100,60400,BMW,X5,2009,N
275,45,403737,IN,2000,1447.77,0,605756,FEMALE,adm-clerical,wife,39400,-63900,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Northbend,3835 5th Ave,8,3,1,1,?,64320,5360,10720,48240,Accura,MDX,1998,N
1,33,162004,IL,500,903.32,0,451184,FEMALE,transport-moving,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,5925 Tree Hwy,1,3,1,0,?,31700,6340,3170,22190,Toyota,Highlander,2006,N
85,30,740384,IN,1000,1454.42,0,459588,MALE,protective-serv,other-relative,51600,-73900,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,6250 1st Ridge,19,1,0,1,YES,74280,12380,12380,49520,Suburu,Forrestor,2006,Y
233,37,876714,IL,2000,1603.42,0,616637,FEMALE,sales,wife,61600,-30200,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,1346 5th Lane,17,1,0,2,YES,80520,13420,6710,60390,Toyota,Corolla,2005,N
142,30,951543,IN,2000,1616.58,0,447979,MALE,adm-clerical,husband,58500,-46800,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Hillsdale,1128 Maple Lane,13,3,0,3,YES,63600,6360,12720,44520,Dodge,RAM,2010,N
266,44,576723,IL,500,1611.83,0,460176,MALE,handlers-cleaners,husband,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Riverwood,6309 Cherokee Ave,4,1,1,2,YES,32800,3280,3280,26240,BMW,3 Series,2012,N
350,50,391003,OH,500,889.13,0,459429,FEMALE,priv-house-serv,other-relative,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,PA,Northbend,4618 Flute Ave,14,3,0,2,NO,44190,9820,4910,29460,Audi,A3,2015,N
97,26,225865,IL,1000,1252.08,0,465456,MALE,exec-managerial,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,VA,Springfield,6191 Oak Lane,4,2,2,2,NO,50400,10080,5040,35280,Honda,CRV,2000,Y
399,55,984948,IL,2000,995.56,0,464665,MALE,tech-support,not-in-family,0,-65400,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Northbend,1316 Britain Ridge,23,3,1,1,YES,88400,17680,8840,61880,Nissan,Pathfinder,2010,N
305,49,890328,IL,2000,1347.92,0,430853,FEMALE,farming-fishing,own-child,0,-42100,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Hillsdale,5924 Maple Drive,21,3,0,2,?,66550,12100,6050,48400,Volkswagen,Jetta,2003,N
276,47,803294,IN,1000,1724.09,0,615712,MALE,craft-repair,own-child,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,8917 Tree Ridge,23,3,0,0,?,65780,5980,11960,47840,Chevrolet,Tahoe,2014,N
257,40,414913,IN,500,1379.93,0,608228,MALE,armed-forces,husband,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,NY,Columbus,3966 Francis Ridge,6,3,0,2,YES,51810,9420,4710,37680,Audi,A3,2002,Y
78,31,414519,IN,1000,1554.64,4000000,457535,MALE,protective-serv,own-child,0,-27900,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,1507 Solo Ave,21,1,1,0,NO,55660,5060,10120,40480,Honda,CRV,2009,Y
129,28,818413,OH,1000,1377.94,0,442540,MALE,machine-op-inspct,not-in-family,0,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,4272 Oak Ridge,23,1,2,3,?,44640,9920,4960,29760,Toyota,Camry,2005,N
283,46,487356,IL,2000,1313.33,0,455332,FEMALE,transport-moving,husband,53500,-73600,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,4434 Lincoln Ave,3,3,1,3,NO,77660,7060,14120,56480,Nissan,Maxima,2004,Y
85,25,159768,IN,500,1259.02,0,439534,FEMALE,tech-support,unmarried,67000,-53600,Parked Car,?,Trivial Damage,None,SC,Northbend,7529 Solo Ridge,8,1,2,2,?,5640,940,940,3760,Nissan,Ultima,2005,N
101,26,865839,IL,1000,1371.88,0,462420,FEMALE,prof-specialty,husband,0,0,Parked Car,?,Trivial Damage,None,VA,Arlington,8096 Apache Hwy,4,1,2,2,?,3190,580,580,2030,Suburu,Legacy,1995,N
96,30,406567,OH,500,1399.27,6000000,448913,MALE,prof-specialty,wife,38900,-48700,Single Vehicle Collision,Side Collision,Total Loss,Fire,NC,Arlington,9417 Tree Hwy,22,1,0,0,YES,53440,0,6680,46760,Ford,Escape,2004,N
121,31,623032,IL,1000,1061.98,6000000,440837,FEMALE,armed-forces,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Hillsdale,3809 Texas Lane,16,1,0,1,YES,65250,7250,7250,50750,BMW,3 Series,2002,N
176,39,935442,OH,500,1365.46,4000000,466634,MALE,armed-forces,unmarried,0,-56600,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Columbus,1540 Apache Lane,14,3,2,1,NO,44280,4920,4920,34440,Chevrolet,Silverado,2008,N
159,37,106873,IL,1000,894.4,0,446435,MALE,tech-support,wife,0,-53700,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Springfield,2337 Lincoln Hwy,13,1,2,0,NO,70290,7810,7810,54670,Dodge,RAM,1999,N
120,30,563878,IN,500,956.69,0,438237,FEMALE,priv-house-serv,husband,39600,-64300,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,Hillsdale,6770 1st St,20,1,1,1,YES,87100,8710,8710,69680,Saab,92x,2000,N
212,35,620855,IN,2000,1123.89,0,468313,MALE,priv-house-serv,unmarried,35400,-49200,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,4119 Texas St,0,3,1,3,?,50380,4580,4580,41220,Suburu,Forrestor,1996,N
290,45,583169,IL,500,1085.03,0,476303,FEMALE,sales,wife,0,-61000,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Arlington,4347 2nd Ridge,23,3,2,2,NO,64800,12960,6480,45360,Audi,A3,2014,Y
299,42,337677,OH,2000,1437.33,0,450339,FEMALE,craft-repair,wife,25000,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,1091 1st Drive,13,1,1,3,NO,70400,12800,12800,44800,BMW,3 Series,2000,N
66,26,445973,IL,1000,988.29,0,476502,MALE,armed-forces,own-child,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Northbend,8203 Lincoln Ave,8,1,2,2,YES,57860,0,10520,47340,Suburu,Impreza,2008,Y
334,47,156694,IL,500,1238.89,0,600561,MALE,protective-serv,other-relative,0,0,Vehicle Theft,?,Minor Damage,None,WV,Northbend,9154 MLK Hwy,3,1,0,3,NO,6240,960,960,4320,Ford,Fusion,2011,N
216,38,421940,IN,1000,1384.64,5000000,600754,FEMALE,tech-support,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,VA,Columbus,5780 4th Ave,16,1,2,3,NO,66600,16650,11100,38850,Jeep,Grand Cherokee,2012,Y
86,28,613226,IN,2000,1595.07,0,439304,MALE,transport-moving,unmarried,75800,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,6945 Texas Hwy,19,1,0,2,YES,70920,11820,11820,47280,Jeep,Wrangler,2002,N
429,56,804410,OH,1000,1127.89,6000000,460722,MALE,machine-op-inspct,own-child,67400,-43800,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Springfield,5639 1st Ridge,0,1,2,0,YES,39480,6580,6580,26320,Suburu,Forrestor,2002,N
257,43,553565,IN,2000,929.7,6000000,618632,FEMALE,handlers-cleaners,husband,46400,-74300,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Arlington,3834 Pine St,12,1,2,2,YES,63240,10540,5270,47430,Mercedes,E400,2005,N
15,34,399524,IL,1000,1829.63,0,452204,MALE,tech-support,not-in-family,56700,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,1358 Maple St,21,3,1,0,?,67650,12300,6150,49200,Audi,A5,2009,N
230,39,331595,IL,1000,904.7,7000000,454530,FEMALE,craft-repair,unmarried,68600,-22300,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,7460 Apache Lane,0,1,1,3,NO,74200,14840,14840,44520,Accura,TL,2002,Y
250,43,380067,OH,1000,1243.84,0,474848,FEMALE,tech-support,own-child,47900,-73400,Single Vehicle Collision,Side Collision,Minor Damage,Other,VA,Columbus,5771 Sky Ave,22,1,1,3,NO,64900,12980,12980,38940,Volkswagen,Jetta,2011,N
270,44,701521,IL,2000,1030.95,0,435985,FEMALE,machine-op-inspct,other-relative,47200,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NC,Northbend,2865 Maple Lane,20,3,1,0,NO,35900,7180,3590,25130,Audi,A3,2007,Y
65,26,360770,IN,500,1285.03,3000000,457942,FEMALE,craft-repair,unmarried,0,-41500,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,VA,Riverwood,8940 Elm Ave,0,1,1,3,?,52200,5220,10440,36540,Honda,CRV,2011,N
475,57,958785,OH,500,1216.56,0,436522,MALE,adm-clerical,own-child,67400,-83200,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Hillsdale,1215 Pine Hwy,20,1,0,2,NO,78000,6500,13000,58500,Suburu,Forrestor,2000,N
77,27,797934,IN,2000,966.26,0,471704,FEMALE,adm-clerical,own-child,56400,-32800,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,6874 Maple Ridge,1,3,0,0,?,67200,6720,6720,53760,Volkswagen,Passat,1995,N
256,43,883980,OH,500,1203.17,0,455810,FEMALE,prof-specialty,unmarried,56700,-65600,Single Vehicle Collision,Rear Collision,Total Loss,Fire,WV,Hillsdale,8834 Elm Drive,11,1,0,0,?,63250,11500,5750,46000,Nissan,Ultima,1997,N
229,37,340614,IL,2000,1212.12,0,446544,FEMALE,craft-repair,not-in-family,65600,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Columbus,8542 Lincoln Ridge,14,3,1,1,YES,68760,11460,5730,51570,Ford,Fusion,1995,N
110,28,435784,OH,1000,1573.93,0,461919,MALE,other-service,other-relative,30400,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,Springfield,9397 Francis St,20,3,0,2,?,65040,10840,10840,43360,Suburu,Impreza,2010,N
177,33,563837,IL,1000,1609.67,0,470128,MALE,adm-clerical,wife,0,-13200,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Springfield,4907 Andromedia Drive,22,1,1,3,?,82800,20700,13800,48300,Jeep,Grand Cherokee,2004,Y
292,44,200827,OH,500,1097.57,0,462836,MALE,priv-house-serv,unmarried,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Columbus,4429 Washington St,12,1,1,0,YES,61700,6170,6170,49360,Saab,93,2005,N
451,61,533941,IN,2000,1618.65,2000000,475407,FEMALE,transport-moving,unmarried,0,-42600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,OH,Columbus,2651 MLK Lane,3,3,2,1,YES,78100,15620,7810,54670,Chevrolet,Tahoe,1997,Y
61,24,265026,IN,500,922.67,0,473611,FEMALE,priv-house-serv,other-relative,47400,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbend,2942 1st Lane,15,3,2,1,?,65520,9360,9360,46800,Toyota,Highlander,2011,Y
150,30,354481,IN,1000,1342.02,0,608425,MALE,prof-specialty,own-child,0,0,Parked Car,?,Trivial Damage,None,VA,Arlington,6317 Best St,8,1,0,2,NO,4500,450,450,3600,Saab,93,1999,N
283,41,566720,OH,500,1195.01,0,476227,FEMALE,sales,own-child,60700,-54300,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Northbend,1555 Washington Lane,13,3,0,2,?,42700,0,6100,36600,Mercedes,ML350,2011,Y
291,46,832746,OH,1000,994.74,0,452701,FEMALE,adm-clerical,own-child,0,-55300,Parked Car,?,Minor Damage,Police,SC,Hillsdale,1919 4th Lane,8,1,2,2,YES,5580,620,620,4340,Volkswagen,Passat,2005,Y
162,31,386690,IN,1000,1050.24,0,456789,FEMALE,adm-clerical,wife,30700,0,Parked Car,?,Minor Damage,None,NC,Arlington,5480 3rd Ridge,7,1,0,0,NO,3600,360,720,2520,BMW,X5,2013,Y
154,36,979285,IL,2000,1313.51,7000000,600904,FEMALE,exec-managerial,own-child,68500,0,Vehicle Theft,?,Trivial Damage,None,SC,Northbrook,8864 Tree Ridge,9,1,2,0,?,2800,280,280,2240,Volkswagen,Passat,2015,N
289,47,594722,OH,2000,1102.29,0,450889,FEMALE,adm-clerical,own-child,73000,-37900,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,VA,Northbend,2777 Solo Drive,15,1,1,0,YES,54000,6000,6000,42000,Toyota,Highlander,1996,N
10,19,216738,IN,1000,1185.78,0,478837,FEMALE,craft-repair,wife,0,-60700,Single Vehicle Collision,Side Collision,Minor Damage,Police,NC,Northbend,9929 Rock Drive,5,1,0,2,?,48950,4450,8900,35600,Accura,TL,2011,Y
309,47,369048,IL,500,1527.95,0,611322,MALE,exec-managerial,other-relative,69400,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,WV,Northbend,4143 Maple Ridge,15,4,0,1,?,77800,15560,15560,46680,Dodge,RAM,2002,N
396,57,514424,IN,1000,1366.39,0,438180,MALE,protective-serv,other-relative,0,-22400,Multi-vehicle Collision,Front Collision,Major Damage,Other,NC,Columbus,7121 Rock St,22,3,2,1,NO,52560,11680,5840,35040,Saab,93,1995,N
273,41,954191,OH,1000,1403.9,0,449793,FEMALE,farming-fishing,own-child,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Riverwood,9067 Texas Ave,16,2,1,2,YES,44110,4010,8020,32080,Honda,Accord,2015,N
129,30,150181,IL,2000,927.23,0,450730,FEMALE,sales,husband,51500,0,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Hillsdale,9245 Weaver Ridge,7,1,1,3,?,74360,13520,6760,54080,Suburu,Forrestor,2009,N
140,31,388671,OH,2000,1554.86,6000000,608758,FEMALE,armed-forces,wife,59000,0,Parked Car,?,Minor Damage,None,WV,Arlington,4585 Francis Ave,2,1,1,2,?,6120,680,680,4760,Honda,Civic,2002,Y
419,53,457244,IL,2000,736.07,6000000,445339,MALE,transport-moving,unmarried,45700,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,6738 Francis Hwy,17,4,0,0,YES,62280,5190,10380,46710,Suburu,Forrestor,2012,N
315,44,206667,IL,1000,974.16,6000000,438328,FEMALE,sales,other-relative,0,-56800,Multi-vehicle Collision,Front Collision,Total Loss,Other,NY,Springfield,7576 Pine Ridge,12,3,1,0,YES,26730,4860,4860,17010,Volkswagen,Jetta,2006,N
72,29,745200,OH,500,973.8,0,479913,FEMALE,craft-repair,own-child,0,-85900,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Arlington,9105 Tree Lane,9,1,1,0,NO,66200,6620,6620,52960,Dodge,Neon,2013,N
32,26,412703,OH,2000,1260.32,6000000,460760,MALE,other-service,not-in-family,0,-79800,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Northbrook,2299 Britain Drive,16,1,1,2,?,45500,9100,4550,31850,Toyota,Corolla,2009,N
230,41,736771,IN,1000,1464.03,0,444797,MALE,transport-moving,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Springfield,1914 Francis St,19,3,2,0,?,53040,4420,4420,44200,Audi,A3,2006,N
157,32,347984,OH,2000,617.11,0,436711,MALE,other-service,other-relative,0,-54100,Multi-vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,6658 Weaver St,14,3,1,2,NO,50800,10160,5080,35560,Mercedes,E400,2013,Y
265,41,626074,IN,2000,1724.46,6000000,432491,FEMALE,craft-repair,own-child,81800,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,1985 5th Ave,18,3,1,3,?,44200,4420,4420,35360,Audi,A5,2014,N
47,34,218109,IL,500,1161.31,0,617527,FEMALE,exec-managerial,other-relative,64800,-24300,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Springfield,1707 Sky Ave,23,1,1,3,?,62920,11440,5720,45760,Chevrolet,Malibu,2012,N
113,29,999435,OH,2000,1091.73,0,601213,MALE,exec-managerial,not-in-family,36100,-42300,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,6456 Andromedia Drive,15,3,0,2,YES,49950,5550,5550,38850,Nissan,Ultima,2004,Y
289,46,858060,IL,2000,1209.07,0,604138,MALE,armed-forces,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,5649 Texas Ave,18,1,0,1,YES,56430,6270,6270,43890,BMW,3 Series,1995,Y
254,41,500384,IL,2000,1241.04,0,431361,FEMALE,protective-serv,own-child,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Riverwood,1220 MLK Ave,16,1,2,2,YES,100210,18220,18220,63770,Audi,A5,2014,N
115,30,903785,OH,500,1757.21,0,477695,MALE,prof-specialty,wife,46400,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Northbend,1589 Pine St,12,3,1,0,YES,49140,5460,5460,38220,Ford,F150,2007,N
236,38,873859,OH,1000,802.24,0,612597,FEMALE,other-service,not-in-family,0,-62500,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,WV,Northbrook,8906 Elm Lane,16,1,0,1,?,66840,16710,5570,44560,Mercedes,E400,2014,N
7,21,204294,IN,1000,1342.72,0,445638,MALE,machine-op-inspct,wife,0,-45300,Single Vehicle Collision,Front Collision,Total Loss,Other,NY,Hillsdale,2654 Elm Drive,21,1,1,2,?,62460,6940,6940,48580,Honda,Accord,2003,N
208,36,467106,OH,2000,1209.41,5000000,476185,MALE,machine-op-inspct,wife,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,6681 Texas Ridge,15,3,0,1,?,62810,11420,11420,39970,Nissan,Ultima,1999,N
126,33,357713,OH,1000,1141.71,2000000,435995,FEMALE,priv-house-serv,own-child,36700,-73400,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,7782 Rock St,21,1,1,2,?,54160,6770,6770,40620,Suburu,Legacy,2009,N
48,35,890026,IL,500,1090.03,0,430232,FEMALE,exec-managerial,unmarried,0,-51000,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Arlington,9286 Oak Ave,1,1,0,2,NO,48400,9680,4840,33880,Saab,92x,2005,N
297,48,751612,IN,1000,1464.73,3000000,443861,MALE,exec-managerial,other-relative,54900,-36700,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Arlington,8758 5th St,17,3,0,0,NO,51480,5720,5720,40040,Toyota,Highlander,2013,N
160,36,876680,OH,1000,1118.58,0,460801,FEMALE,prof-specialty,husband,0,-36600,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NY,Columbus,7281 Maple Hwy,5,3,2,1,NO,51700,5170,10340,36190,Saab,95,2003,N
406,58,756981,OH,2000,1117.04,0,605121,MALE,exec-managerial,own-child,0,-42700,Multi-vehicle Collision,Front Collision,Total Loss,Other,WV,Northbend,7571 Elm Ridge,15,3,1,2,?,65520,10920,5460,49140,Volkswagen,Jetta,2009,N
157,31,121439,IN,500,1257.83,7000000,458622,MALE,farming-fishing,own-child,40700,-41600,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,6738 Washington Hwy,2,4,2,2,NO,47700,4770,9540,33390,Accura,TL,2011,Y
146,31,411289,OH,2000,1082.72,0,478661,FEMALE,machine-op-inspct,not-in-family,61400,-57500,Vehicle Theft,?,Minor Damage,None,SC,Northbend,4188 Britain Ave,3,1,2,0,NO,5220,580,580,4060,Accura,MDX,2015,N
409,57,538466,IN,1000,1191.8,6000000,435299,MALE,protective-serv,unmarried,55600,0,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Riverwood,6934 Lincoln Ave,19,1,1,0,?,73320,6110,12220,54990,Ford,Fusion,2012,N
252,46,932097,IN,1000,1242.02,0,601961,MALE,adm-clerical,wife,0,-28800,Single Vehicle Collision,Front Collision,Minor Damage,Fire,VA,Hillsdale,6390 Apache St,17,1,0,2,YES,74900,14980,7490,52430,Jeep,Grand Cherokee,2003,N
6,27,463727,OH,500,1075.71,0,604328,FEMALE,prof-specialty,unmarried,0,-47400,Vehicle Theft,?,Trivial Damage,Police,WV,Columbus,7615 Weaver Drive,7,1,0,1,YES,3190,580,290,2320,Saab,95,2015,N
103,33,552618,IN,1000,969.88,6000000,614385,MALE,armed-forces,own-child,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Columbus,6409 Cherokee Drive,21,1,1,0,YES,76920,12820,6410,57690,Chevrolet,Malibu,2002,N
369,53,936638,OH,2000,1459.93,0,438584,FEMALE,priv-house-serv,not-in-family,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Springfield,1123 5th Lane,10,2,1,3,NO,77990,7090,14180,56720,Jeep,Wrangler,2012,N
261,46,348814,IL,1000,1245.61,0,478703,MALE,transport-moving,own-child,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,5168 5th Ave,11,1,1,0,?,59670,9180,9180,41310,Ford,Escape,2008,N
159,33,944102,IN,2000,1462.76,0,615683,FEMALE,craft-repair,husband,69200,-36900,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Columbus,3697 Apache Drive,23,3,2,0,NO,44880,8160,4080,32640,Mercedes,C300,2004,Y
344,51,689901,IN,2000,1398.46,0,455672,MALE,sales,other-relative,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Northbend,1910 Sky Ave,14,1,0,2,NO,82830,7530,15060,60240,Audi,A5,2004,N
437,60,901083,OH,1000,1269.64,0,602942,FEMALE,armed-forces,unmarried,48800,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Riverwood,8954 Apache Lane,10,1,1,3,NO,84480,7680,15360,61440,Chevrolet,Silverado,2012,Y
65,30,396224,IN,500,1455.65,4000000,616706,FEMALE,transport-moving,wife,0,-66300,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3110 Lincoln Lane,6,3,2,3,NO,79800,15960,7980,55860,Honda,Civic,1999,N
280,41,682178,OH,2000,1140.31,0,473243,MALE,adm-clerical,husband,29300,-64700,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,WV,Arlington,6035 Rock Ave,10,3,0,3,YES,53020,9640,9640,33740,Toyota,Corolla,1999,N
